No.,Time,Duration,ScreenX,ScreenY,DurationString,DurationOptions
808,306930,498,64,500,498,
809,307449,100,122,588,100,
810,307568,837,141,575,837,
811,308445,180,177,646,180,
812,308645,199,185,652,199,
813,308884,658,195,665,658,
814,309562,459,266,672,459,
815,310220,139,80,513,139,
816,310379,1675,44,469,1675,
817,312094,159,163,530,159,
818,312274,179,225,591,179,
819,312493,319,226,594,319,
820,312971,219,286,591,219,
821,313211,140,286,595,140,
822,313370,279,269,664,279,
823,313669,180,91,583,180,
824,313868,419,96,592,419,
825,314307,937,95,656,937,
826,315264,399,165,689,399,
827,315782,379,165,660,379,
828,316181,379,144,666,379,
829,316600,439,90,619,439,
830,317059,578,156,672,578,
831,317677,159,168,671,159,
832,317856,239,223,664,239,
833,318115,140,244,658,140,
834,318295,279,130,679,279,
835,318673,159,133,680,159,
836,318853,319,182,671,319,
837,319192,179,232,670,179,
838,319471,1196,152,661,1196,
839,320707,160,148,662,160,
840,320906,179,237,712,179,
841,321106,319,237,751,319,
842,321445,139,230,778,139,
843,321744,837,164,787,837,
844,322601,140,95,772,140,
845,322940,179,160,708,179,
846,323139,299,163,668,299,
847,323518,259,296,714,259,
848,323997,279,296,695,279,
849,324336,339,274,713,339,
850,324734,379,364,639,379,
851,325253,119,367,655,119,
852,325412,199,337,636,199,
853,325652,219,361,624,219,
854,325891,319,357,518,319,
855,326230,199,357,517,199,
856,326469,439,200,589,439,
857,326928,159,209,581,159,
858,327366,100,121,685,100,
859,327506,120,146,675,120,
860,328144,180,132,672,180,
861,328463,259,172,753,259,
862,328742,319,153,682,319,
863,329141,120,181,687,120,
864,329280,379,145,678,379,
865,329679,239,181,701,239,
866,329938,120,181,691,120,
867,330078,200,182,764,200,
868,330337,179,192,784,179,
869,330536,718,199,801,718,
870,331274,459,181,804,459,
871,331772,259,177,809,259,
872,332051,379,205,867,379,
873,332450,578,200,917,578,
874,333048,359,184,912,359,
875,333427,439,171,919,439,
876,334185,279,227,935,279,
877,334484,1137,171,907,1137,
878,335640,219,235,907,219,
879,335939,100,328,605,100,
880,336059,120,324,598,120,
881,336238,279,337,502,279,
882,336537,199,221,938,199,
883,336757,459,228,937,459,
884,337255,319,318,579,319,
